Timestamp: 1734171094.260, ID: 0x60b, Data: 014e94078020818b
Timestamp: 1734171094.260, ID: 0x60b, Data: 004f7c0e80206174
Timestamp: 1734171094.260, ID: 0x60b, Data: 0250b416801fe172
Timestamp: 1734171094.261, ID: 0x60b, Data: 034eb40180200172
Timestamp: 1734171094.261, ID: 0x60b, Data: 044e73f880dfe16b
Timestamp: 1734171094.261, ID: 0x60b, Data: 0651b427802021a9
Timestamp: 1734171094.262, ID: 0x60b, Data: 074f4c1580200187
Timestamp: 1734171094.262, ID: 0x60b, Data: 08511c1a801fe176
Timestamp: 1734171094.262, ID: 0x60b, Data: 0a4fe41e8020017b
Timestamp: 1734171094.263, ID: 0x60b, Data: 0b502c1b80200174
Timestamp: 1734171094.263, ID: 0x60c, Data: 008ca53a8220e8
Timestamp: 1734171094.263, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171094.264, ID: 0x60c, Data: 0294e54a8220c8
Timestamp: 1734171094.264, ID: 0x60c, Data: 03a5274d822064
Timestamp: 1734171094.264, ID: 0x60c, Data: 0494e74b8220e8
Timestamp: 1734171094.265, ID: 0x60c, Data: 068ca53a8220e8
Timestamp: 1734171094.265, ID: 0x60c, Data: 07a52f4d82204c
Timestamp: 1734171094.265, ID: 0x60c, Data: 088ca53a8220e8
Timestamp: 1734171094.265, ID: 0x60c, Data: 0a9ce74b0220e8
Timestamp: 1734171094.265, ID: 0x60c, Data: 0ba4e94c8220a8
Timestamp: 1734171094.265, ID: 0x60d, Data: 007cefa170800a0c
Timestamp: 1734171094.266, ID: 0x60d, Data: 017c2fa170800c0c
Timestamp: 1734171094.266, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.266, ID: 0x60d, Data: 037d0fa070800505
Timestamp: 1734171094.266, ID: 0x60d, Data: 0494afa070800505
Timestamp: 1734171094.266, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.267, ID: 0x60d, Data: 077d0fa070800505
Timestamp: 1734171094.267, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.267, ID: 0x60d, Data: 0a7defa070800505
Timestamp: 1734171094.267, ID: 0x60d, Data: 0b7defa070800505
Timestamp: 1734171094.316, ID: 0x60a, Data: 0a3f3210
Timestamp: 1734171094.317, ID: 0x60b, Data: 004f7c0e80204174
Timestamp: 1734171094.318, ID: 0x60b, Data: 034fd3e08020017f
Timestamp: 1734171094.318, ID: 0x60b, Data: 044e73f8811fe169
Timestamp: 1734171094.319, ID: 0x60b, Data: 0b502c1b80200174
Timestamp: 1734171094.320, ID: 0x60c, Data: 008ca53a8220c8
Timestamp: 1734171094.321, ID: 0x60c, Data: 0b9ceb4c822088
Timestamp: 1734171094.322, ID: 0x60d, Data: 007cefa170800a0c
Timestamp: 1734171094.322, ID: 0x60d, Data: 017c4fa170800c0c
Timestamp: 1734171094.322, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.323, ID: 0x60d, Data: 037d0fa070800505
Timestamp: 1734171094.323, ID: 0x60d, Data: 057d0fa070800505
Timestamp: 1734171094.324, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.324, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.324, ID: 0x60d, Data: 0a7defa070800505
Timestamp: 1734171094.325, ID: 0x60d, Data: 0b7dafa070800505
Timestamp: 1734171094.367, ID: 0x60a, Data: 0b3f3310
Timestamp: 1734171094.368, ID: 0x60b, Data: 004f7c0d80204172
Timestamp: 1734171094.369, ID: 0x60b, Data: 0250b416801fe172
Timestamp: 1734171094.370, ID: 0x60b, Data: 034fd3e08020017f
Timestamp: 1734171094.371, ID: 0x60b, Data: 0a4fe41e8020017b
Timestamp: 1734171094.371, ID: 0x60b, Data: 0b502c1b80200173
Timestamp: 1734171094.372, ID: 0x60c, Data: 0184a53a8220e8
Timestamp: 1734171094.372, ID: 0x60c, Data: 0294e74a8220cc
Timestamp: 1734171094.373, ID: 0x60c, Data: 0494e74b0220e8
Timestamp: 1734171094.373, ID: 0x60c, Data: 05a5294d0220a8
Timestamp: 1734171094.373, ID: 0x60c, Data: 088ce53a8220e8
Timestamp: 1734171094.374, ID: 0x60c, Data: 068ca53a8220e8
Timestamp: 1734171094.374, ID: 0x60c, Data: 0b9ceb4c822088
Timestamp: 1734171094.374, ID: 0x60d, Data: 007d0fa170800a0c
Timestamp: 1734171094.375, ID: 0x60d, Data: 057b4fa070800505
Timestamp: 1734171094.375, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.375, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.375, ID: 0x60d, Data: 0b7d6fa070800505
Timestamp: 1734171094.376, ID: 0x60d, Data: 0a7dcfa070800505
Timestamp: 1734171094.420, ID: 0x60a, Data: 0b3f3410
Timestamp: 1734171094.421, ID: 0x60b, Data: 004f7c0d80202172
Timestamp: 1734171094.421, ID: 0x60b, Data: 014e940880206188
Timestamp: 1734171094.422, ID: 0x60b, Data: 044e73f880a0016c
Timestamp: 1734171094.423, ID: 0x60b, Data: 074f14138020016a
Timestamp: 1734171094.424, ID: 0x60b, Data: 08511c1a80200174
Timestamp: 1734171094.424, ID: 0x60c, Data: 0494a54b0220e8
Timestamp: 1734171094.425, ID: 0x60c, Data: 059ce74c8220c8
Timestamp: 1734171094.425, ID: 0x60c, Data: 0a94e74b0220cc
Timestamp: 1734171094.425, ID: 0x60d, Data: 007d0fa170800a0c
Timestamp: 1734171094.426, ID: 0x60c, Data: 0b9ce74b8220c8
Timestamp: 1734171094.426, ID: 0x60d, Data: 017c6fa170800c0c
Timestamp: 1734171094.426, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.426, ID: 0x60d, Data: 037d0fa070800505
Timestamp: 1734171094.427, ID: 0x60d, Data: 0479afa070800505
Timestamp: 1734171094.427, ID: 0x60d, Data: 057e0fa170800a0c
Timestamp: 1734171094.427, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.428, ID: 0x60d, Data: 077d2fa070800505
Timestamp: 1734171094.428, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.428, ID: 0x60d, Data: 0a7dcfa070800505
Timestamp: 1734171094.429, ID: 0x60d, Data: 0b7cafa070800505
Timestamp: 1734171094.481, ID: 0x60a, Data: 0a3f3510
Timestamp: 1734171094.482, ID: 0x60b, Data: 044e73f880a0016d
Timestamp: 1734171094.483, ID: 0x60b, Data: 004f7c0c80202171
Timestamp: 1734171094.483, ID: 0x60b, Data: 05505c288020017d
Timestamp: 1734171094.484, ID: 0x60b, Data: 0651b427802021aa
Timestamp: 1734171094.485, ID: 0x60b, Data: 0b50341b80200176
Timestamp: 1734171094.486, ID: 0x60c, Data: 008ca53a8220e8
Timestamp: 1734171094.486, ID: 0x60c, Data: 0494a74c0220e8
Timestamp: 1734171094.486, ID: 0x60c, Data: 059ce54c0220e8
Timestamp: 1734171094.487, ID: 0x60c, Data: 0a9ce94b0220cc
Timestamp: 1734171094.487, ID: 0x60c, Data: 0b9ce74b8220e8
Timestamp: 1734171094.487, ID: 0x60d, Data: 017c6fa170800c0c
Timestamp: 1734171094.488, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.488, ID: 0x60d, Data: 057d4fa170800a0c
Timestamp: 1734171094.488, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.488, ID: 0x60d, Data: 077d2fa070800505
Timestamp: 1734171094.489, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.489, ID: 0x60d, Data: 0a7dcfa070800505
Timestamp: 1734171094.489, ID: 0x60d, Data: 0b7ccfa070800505
Timestamp: 1734171094.533, ID: 0x60a, Data: 0a3f3610
Timestamp: 1734171094.534, ID: 0x60b, Data: 004f7c0c80202171
Timestamp: 1734171094.535, ID: 0x60b, Data: 0651b427802021aa
Timestamp: 1734171094.536, ID: 0x60b, Data: 074f14138020016a
Timestamp: 1734171094.537, ID: 0x60b, Data: 0a4fe41e8020017b
Timestamp: 1734171094.537, ID: 0x60b, Data: 0b50341b80200176
Timestamp: 1734171094.538, ID: 0x60c, Data: 008ca53a8220c8
Timestamp: 1734171094.538, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171094.538, ID: 0x60c, Data: 0494a74c0220c8
Timestamp: 1734171094.539, ID: 0x60c, Data: 0594a54b8220e8
Timestamp: 1734171094.539, ID: 0x60c, Data: 07a52f4d822028
Timestamp: 1734171094.539, ID: 0x60c, Data: 0a9ce94b0220ac
Timestamp: 1734171094.539, ID: 0x60d, Data: 017c8fa170800c0c
Timestamp: 1734171094.540, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.540, ID: 0x60d, Data: 04790fa070800505
Timestamp: 1734171094.540, ID: 0x60d, Data: 057d8fa170800a0c
Timestamp: 1734171094.541, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.541, ID: 0x60d, Data: 077d4fa070800505
Timestamp: 1734171094.541, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.541, ID: 0x60d, Data: 0a7dcfa070800505
Timestamp: 1734171094.541, ID: 0x60d, Data: 0b7ccfa070800505
Timestamp: 1734171094.587, ID: 0x60a, Data: 093f3710
Timestamp: 1734171094.589, ID: 0x60b, Data: 004f7c0c80200170
Timestamp: 1734171094.590, ID: 0x60b, Data: 05506427801fe17c
Timestamp: 1734171094.590, ID: 0x60b, Data: 08511c1a801fe16d
Timestamp: 1734171094.590, ID: 0x60c, Data: 0494e94c0220c8
Timestamp: 1734171094.591, ID: 0x60c, Data: 0594a54b8220e8
Timestamp: 1734171094.592, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.592, ID: 0x60d, Data: 04756fa070800505
Timestamp: 1734171094.593, ID: 0x60d, Data: 0b7ccfa070800505
Timestamp: 1734171094.642, ID: 0x60a, Data: 0a3f3810
Timestamp: 1734171094.642, ID: 0x60b, Data: 004f7c0b80200172
Timestamp: 1734171094.643, ID: 0x60b, Data: 05506427801fe17c
Timestamp: 1734171094.643, ID: 0x60b, Data: 0651b427802021aa
Timestamp: 1734171094.643, ID: 0x60b, Data: 0a4fe41f8020017c
Timestamp: 1734171094.644, ID: 0x60b, Data: 0b50341b80200173
Timestamp: 1734171094.644, ID: 0x60c, Data: 0294e74a822088
Timestamp: 1734171094.645, ID: 0x60c, Data: 03a5274d822064
Timestamp: 1734171094.646, ID: 0x60c, Data: 0a94e74a8220e8
Timestamp: 1734171094.647, ID: 0x60c, Data: 0b9ce94b8220e8
Timestamp: 1734171094.647, ID: 0x60d, Data: 037d0fa070800505
Timestamp: 1734171094.647, ID: 0x60d, Data: 04756fa070800505
Timestamp: 1734171094.647, ID: 0x60d, Data: 057d0fa170800a0c
Timestamp: 1734171094.647, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.648, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.648, ID: 0x60d, Data: 0a7dafa070800505
Timestamp: 1734171094.648, ID: 0x60d, Data: 0b7ccfa070800505
Timestamp: 1734171094.692, ID: 0x60a, Data: 093f3910
Timestamp: 1734171094.693, ID: 0x60b, Data: 004f7c0b80200171
Timestamp: 1734171094.694, ID: 0x60b, Data: 08511c19801fe16d
Timestamp: 1734171094.695, ID: 0x60b, Data: 0b50341b80200172
Timestamp: 1734171094.695, ID: 0x60b, Data: 0a4fec1f8020017c
Timestamp: 1734171094.696, ID: 0x60c, Data: 008ca53a8220e8
Timestamp: 1734171094.696, ID: 0x60c, Data: 0294e74a82206c
Timestamp: 1734171094.697, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171094.697, ID: 0x60c, Data: 0a94e74a8220e8
Timestamp: 1734171094.698, ID: 0x60c, Data: 0b9ce94b8220e8
Timestamp: 1734171094.698, ID: 0x60d, Data: 007e0fa170800a0c
Timestamp: 1734171094.699, ID: 0x60d, Data: 017d0fa170800c0c
Timestamp: 1734171094.699, ID: 0x60d, Data: 027ccfa070800505
Timestamp: 1734171094.699, ID: 0x60d, Data: 04760fa070800505
Timestamp: 1734171094.700, ID: 0x60d, Data: 057d0fa170800a0c
Timestamp: 1734171094.700, ID: 0x60d, Data: 067d6fa070800505
Timestamp: 1734171094.700, ID: 0x60d, Data: 087cafa070800505
Timestamp: 1734171094.700, ID: 0x60d, Data: 0b7cafa070800505
Timestamp: 1734171094.701, ID: 0x60d, Data: 0a7d6fa070800505
Timestamp: 1734171094.746, ID: 0x60a, Data: 0b3f3a10
Timestamp: 1734171094.746, ID: 0x60b, Data: 004f7c0a801fe16f
Timestamp: 1734171094.747, ID: 0x60b, Data: 0250b416801fe16c
Timestamp: 1734171094.747, ID: 0x60b, Data: 034e9c028020016e
Timestamp: 1734171094.747, ID: 0x60b, Data: 044e7bf8809fe169
Timestamp: 1734171094.748, ID: 0x60b, Data: 05506426801fc17e
Timestamp: 1734171094.748, ID: 0x60b, Data: 0651b427802021a9
Timestamp: 1734171094.749, ID: 0x60b, Data: 074f9c1b8020017c
Timestamp: 1734171094.749, ID: 0x60b, Data: 08511c19801fe16d
Timestamp: 1734171094.750, ID: 0x60b, Data: 0a4fec1f8020017c
Timestamp: 1734171094.751, ID: 0x60b, Data: 0b50341b80200172
Timestamp: 1734171094.751, ID: 0x60c, Data: 008ca33a8220e8
Timestamp: 1734171094.752, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171094.753, ID: 0x60c, Data: 0294e94a82204c
Timestamp: 1734171094.753, ID: 0x60c, Data: 03a5274d822064
Timestamp: 1734171094.753, ID: 0x60c, Data: 0494eb4c0220ac
Timestamp: 1734171094.753, ID: 0x60c, Data: 0594a74b0220cc
Timestamp: 1734171094.754, ID: 0x60c, Data: 068ca53a8220e8
Timestamp: 1734171094.754, ID: 0x60c, Data: 07a5274d822064
Timestamp: 1734171094.754, ID: 0x60c, Data: 088ce53a8220c8
Timestamp: 1734171094.754, ID: 0x60c, Data: 0a94e74a8220cc
Timestamp: 1734171094.755, ID: 0x60c, Data: 0b9ce94b8220cc
Timestamp: 1734171094.755, ID: 0x60d, Data: 007dcfa170800a0c
Timestamp: 1734171094.755, ID: 0x60d, Data: 017d0fa170800c0c
Timestamp: 1734171094.755, ID: 0x60d, Data: 027ccfa070800505
Timestamp: 1734171094.756, ID: 0x60d, Data: 037d0fa070800505
Timestamp: 1734171094.756, ID: 0x60d, Data: 04760fa070800505
Timestamp: 1734171094.756, ID: 0x60d, Data: 057d0fa170800a0c
Timestamp: 1734171094.756, ID: 0x60d, Data: 067d6fa070800505
Timestamp: 1734171094.757, ID: 0x60d, Data: 077d0fa070800505
Timestamp: 1734171094.757, ID: 0x60d, Data: 087c8fa070800505
Timestamp: 1734171094.757, ID: 0x60d, Data: 0a7d6fa070800505
Timestamp: 1734171094.757, ID: 0x60d, Data: 0b7cafa070800505
Timestamp: 1734171094.804, ID: 0x60a, Data: 0a3f3b10
Timestamp: 1734171094.805, ID: 0x60b, Data: 004f7c0a801fe16f
Timestamp: 1734171094.805, ID: 0x60b, Data: 014e940680200182
Timestamp: 1734171094.806, ID: 0x60b, Data: 0250b416801fe16e
Timestamp: 1734171094.806, ID: 0x60b, Data: 044e7bf8809fe169
Timestamp: 1734171094.807, ID: 0x60b, Data: 05506425801fc17f
Timestamp: 1734171094.807, ID: 0x60b, Data: 0651b427802021a9
Timestamp: 1734171094.807, ID: 0x60b, Data: 074f9c1b8020017c
Timestamp: 1734171094.807, ID: 0x60b, Data: 08511c19801fe16d
Timestamp: 1734171094.808, ID: 0x60b, Data: 0a4fec1f8020017c
Timestamp: 1734171094.808, ID: 0x60b, Data: 0b50341b80200172
Timestamp: 1734171094.809, ID: 0x60c, Data: 008ca33a8220e8
Timestamp: 1734171094.809, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171094.809, ID: 0x60c, Data: 0294e94a822048
Timestamp: 1734171094.809, ID: 0x60c, Data: 049ceb4c0220ac
Timestamp: 1734171094.809, ID: 0x60c, Data: 0594a74a8220e8
Timestamp: 1734171094.810, ID: 0x60c, Data: 068ca53a8220e8
Timestamp: 1734171094.810, ID: 0x60c, Data: 07a52b4d82204c
Timestamp: 1734171094.810, ID: 0x60c, Data: 088ce53a8220e8
Timestamp: 1734171094.810, ID: 0x60c, Data: 0a94e74a8220cc
Timestamp: 1734171094.810, ID: 0x60c, Data: 0b9ceb4b8220cc
Timestamp: 1734171094.811, ID: 0x60d, Data: 007dcfa170800a0c
Timestamp: 1734171094.811, ID: 0x60d, Data: 017d8fa170800c0c
Timestamp: 1734171094.811, ID: 0x60d, Data: 027ccfa070800505
Timestamp: 1734171094.811, ID: 0x60d, Data: 04760fa070800505
Timestamp: 1734171094.811, ID: 0x60d, Data: 057cefa170800a0c
Timestamp: 1734171094.812, ID: 0x60d, Data: 067d6fa070800505
Timestamp: 1734171094.812, ID: 0x60d, Data: 077d0fa070800505
Timestamp: 1734171094.812, ID: 0x60d, Data: 087c8fa070800505
Timestamp: 1734171094.812, ID: 0x60d, Data: 0a7d6fa070800505
Timestamp: 1734171094.812, ID: 0x60d, Data: 0b7cafa070800505
